task_id,status,name,energy_consumption,CO2e,CO2e_market,carbon_intensity,%cpu,memory,realtime,cpus,powerdraw_cpu,cpu_model,raw_energy_processor,raw_energy_memory
21,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (H3K4me1_LAPC4_R1881_REP3_T1),3.13 Wh,512.3 mg,-,163.92 gCO₂e/kWh,407.3 %,64.42 GB,4min 33s 1000ms,12,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,1.84 Wh,1.28 Wh
20,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (H3K4me1_LAPC4_R1881_REP2_T1),4.02 Wh,658.75 mg,-,163.92 gCO₂e/kWh,411.9 %,64.42 GB,5min 49s 1000ms,12,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,2.38 Wh,1.64 Wh
24,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (H3K4me1_LAPC4_Control_REP2_T1),14.8 Wh,2.43 g,-,163.92 gCO₂e/kWh,1177.5 %,64.42 GB,10min 14s 0ms,12,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,11.92 Wh,2.88 Wh
23,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (H3K4me1_LAPC4_Control_REP1_T1),13.93 Wh,2.28 g,-,163.92 gCO₂e/kWh,1169.2 %,64.42 GB,9min 41s 0ms,12,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,11.2 Wh,2.72 Wh
25,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (H3K4me1_LAPC4_Control_REP3_T1),14.27 Wh,2.34 g,-,163.92 gCO₂e/kWh,1170.3 %,64.42 GB,9min 55s 0ms,12,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,11.48 Wh,2.79 Wh
27,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (H3K4me1_LAPC4_Daro_REP3_T1),14.54 Wh,2.38 g,-,163.92 gCO₂e/kWh,1220.5 %,64.42 GB,9min 46s 0ms,13,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,11.8 Wh,2.75 Wh
26,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (H3K4me1_LAPC4_Daro_REP1_T1),16.78 Wh,2.75 g,-,163.92 gCO₂e/kWh,1225.5 %,64.42 GB,11min 13s 1000ms,13,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,13.62 Wh,3.16 Wh
28,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (H3K4me1_LAPC4_Daro_REP2_T1),14.79 Wh,2.42 g,-,163.92 gCO₂e/kWh,1215.2 %,64.42 GB,9min 57s 1000ms,13,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,11.99 Wh,2.8 Wh
32,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (H3K4me1_LAPC4_Control_REP2_T1),836.83 mWh,137.17 mg,-,163.92 gCO₂e/kWh,197.1 %,38.65 GB,2min 17s 1000ms,6,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,448.61 mWh,388.22 mWh
33,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (H3K4me1_LAPC4_Control_REP1_T1),730.73 mWh,119.78 mg,-,163.92 gCO₂e/kWh,204.9 %,38.65 GB,1min 58s 0ms,6,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,398.77 mWh,331.96 mWh
34,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (H3K4me1_LAPC4_Control_REP3_T1),754.8 mWh,123.73 mg,-,163.92 gCO₂e/kWh,198.5 %,38.65 GB,2min 3s 1000ms,6,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,405.96 mWh,348.84 mWh
30,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (H3K4me1_LAPC4_R1881_REP3_T1),13.76 Wh,2.26 g,-,163.92 gCO₂e/kWh,1211.3 %,64.42 GB,9min 18s,13,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,11.15 Wh,2.62 Wh
35,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (H3K4me1_LAPC4_Daro_REP3_T1),793.35 mWh,130.05 mg,-,163.92 gCO₂e/kWh,191.1 %,38.65 GB,2min 12s 1000ms,6,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,419.19 mWh,374.16 mWh
29,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (H3K4me1_LAPC4_R1881_REP1_T1),17.35 Wh,2.84 g,-,163.92 gCO₂e/kWh,1218.4 %,64.42 GB,11min 39s 1000ms,13,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,14.07 Wh,3.28 Wh
38,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (H3K4me1_LAPC4_Control_REP2_T1),46.33 mWh,7.59 mg,-,163.92 gCO₂e/kWh,118.7 %,12.88 GB,15s 1000ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,31.32 mWh,15 mWh
39,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (H3K4me1_LAPC4_Control_REP1_T1),44.77 mWh,7.34 mg,-,163.92 gCO₂e/kWh,124.1 %,12.88 GB,15s 0ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,30.7 mWh,14.07 mWh
36,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (H3K4me1_LAPC4_Daro_REP1_T1),998 mWh,163.59 mg,-,163.92 gCO₂e/kWh,165.6 %,38.65 GB,3min,6,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,491.63 mWh,506.38 mWh
37,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (H3K4me1_LAPC4_Daro_REP2_T1),910.31 mWh,149.22 mg,-,163.92 gCO₂e/kWh,154.1 %,38.65 GB,2min 49s 1000ms,6,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,432.07 mWh,478.24 mWh
31,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (H3K4me1_LAPC4_R1881_REP2_T1),17.84 Wh,2.92 g,-,163.92 gCO₂e/kWh,1226.7 %,64.42 GB,11min 56s 0ms,13,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,14.49 Wh,3.36 Wh
40,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (H3K4me1_LAPC4_Control_REP3_T1),46.08 mWh,7.55 mg,-,163.92 gCO₂e/kWh,129.4 %,12.88 GB,15s 0ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,32.01 mWh,14.07 mWh
46,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (H3K4me1_LAPC4_Control_REP2_T1),38.98 mWh,6.39 mg,-,163.92 gCO₂e/kWh,140.1 %,12.88 GB,11s 1000ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,27.73 mWh,11.25 mWh
42,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (H3K4me1_LAPC4_Daro_REP3_T1),45.86 mWh,7.52 mg,-,163.92 gCO₂e/kWh,128.5 %,12.88 GB,15s 0ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,31.79 mWh,14.07 mWh
44,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (H3K4me1_LAPC4_Control_REP2_T1),0 Wh,0 g,-,163.92 gCO₂e/kWh,66.9 %,12.88 GB,0ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,0 Wh,0 Wh
48,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (H3K4me1_LAPC4_Control_REP1_T1),1.24 mWh,203.46 ug,-,163.92 gCO₂e/kWh,18.4 %,12.88 GB,1s 0ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,303.47 uWh,937.73 uWh
49,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (H3K4me1_LAPC4_Control_REP1_T1),36.31 mWh,5.95 mg,-,163.92 gCO₂e/kWh,143.3 %,12.88 GB,11s 0ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,26 mWh,10.32 mWh
45,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (H3K4me1_LAPC4_Control_REP2_T1),215 mWh,35.24 mg,-,163.92 gCO₂e/kWh,124.2 %,12.88 GB,1min 12s,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,147.49 mWh,67.52 mWh
50,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (H3K4me1_LAPC4_Daro_REP1_T1),51.68 mWh,8.47 mg,-,163.92 gCO₂e/kWh,139 %,12.88 GB,15s 1000ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,36.68 mWh,15 mWh
47,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (H3K4me1_LAPC4_Control_REP1_T1),200.29 mWh,32.83 mg,-,163.92 gCO₂e/kWh,124.4 %,12.88 GB,1min 6s 1000ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,137.47 mWh,62.83 mWh
41,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (H3K4me1_LAPC4_R1881_REP3_T1),794.57 mWh,130.25 mg,-,163.92 gCO₂e/kWh,168.7 %,38.65 GB,2min 21s 1000ms,6,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,395.1 mWh,399.47 mWh
55,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (H3K4me1_LAPC4_Control_REP3_T1),1.07 mWh,176.15 ug,-,163.92 gCO₂e/kWh,8.3 %,12.88 GB,1s 0ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,136.89 uWh,937.73 uWh
51,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (H3K4me1_LAPC4_Daro_REP2_T1),48.52 mWh,7.95 mg,-,163.92 gCO₂e/kWh,127 %,12.88 GB,15s 1000ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,33.51 mWh,15 mWh
54,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (H3K4me1_LAPC4_Control_REP3_T1),39.14 mWh,6.42 mg,-,163.92 gCO₂e/kWh,140.9 %,12.88 GB,11s 1000ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,27.89 mWh,11.25 mWh
56,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (H3K4me1_LAPC4_Daro_REP3_T1),1.16 mWh,189.67 ug,-,163.92 gCO₂e/kWh,13.3 %,12.88 GB,1s 0ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,219.36 uWh,937.73 uWh
43,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (H3K4me1_LAPC4_R1881_REP1_T1),960.01 mWh,157.36 mg,-,163.92 gCO₂e/kWh,175.9 %,38.65 GB,2min 48s 0ms,6,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,487.39 mWh,472.62 mWh
58,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (H3K4me1_LAPC4_Daro_REP3_T1),43.31 mWh,7.1 mg,-,163.92 gCO₂e/kWh,118.2 %,12.88 GB,15s 0ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,29.24 mWh,14.07 mWh
61,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (H3K4me1_LAPC4_Daro_REP1_T1),0 Wh,0 g,-,163.92 gCO₂e/kWh,10.3 %,12.88 GB,0ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,0 Wh,0 Wh
53,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (H3K4me1_LAPC4_Control_REP3_T1),209.26 mWh,34.3 mg,-,163.92 gCO₂e/kWh,124.4 %,12.88 GB,1min 9s 1000ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,143.62 mWh,65.64 mWh
57,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (H3K4me1_LAPC4_Daro_REP3_T1),206.2 mWh,33.8 mg,-,163.92 gCO₂e/kWh,127 %,12.88 GB,1min 8s 0ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,142.43 mWh,63.77 mWh
