threads,load,energy,,,time,,,util
9,50,605.27,Joules,power/energy-pkg/,20149700063,100.00,,447
10,50,623.24,Joules,power/energy-pkg/,20048065506,100.00,,499
11,50,637.26,Joules,power/energy-pkg/,20153839515,100.00,,546
12,50,652.50,Joules,power/energy-pkg/,20162234909,100.00,,596
13,50,667.60,Joules,power/energy-pkg/,20182580952,100.00,,645
14,50,682.46,Joules,power/energy-pkg/,20173341832,100.00,,694
15,50,688.32,Joules,power/energy-pkg/,20104737730,100.00,,746
16,50,709.07,Joules,power/energy-pkg/,20196618843,100.00,,793
17,50,720.24,Joules,power/energy-pkg/,20191644018,100.00,,843
18,50,727.44,Joules,power/energy-pkg/,20201620050,100.00,,892
19,50,733.67,Joules,power/energy-pkg/,20193273584,100.00,,942
20,50,737.88,Joules,power/energy-pkg/,20187731213,100.00,,992
21,50,749.96,Joules,power/energy-pkg/,20212810768,100.00,,1041
22,50,757.01,Joules,power/energy-pkg/,20198887303,100.00,,1091
23,50,766.78,Joules,power/energy-pkg/,20224236503,100.00,,1139
24,50,775.73,Joules,power/energy-pkg/,20179357562,100.00,,1190
25,50,784.70,Joules,power/energy-pkg/,20251811143,100.00,,1237
26,50,770.48,Joules,power/energy-pkg/,20199926249,100.00,,1288
27,50,791.64,Joules,power/energy-pkg/,20236466081,100.00,,1336
28,50,795.60,Joules,power/energy-pkg/,20204019762,100.00,,1387
29,50,806.20,Joules,power/energy-pkg/,20226825608,100.00,,1436
30,50,813.89,Joules,power/energy-pkg/,20255584924,100.00,,1483
31,50,814.96,Joules,power/energy-pkg/,20243954794,100.00,,1534
32,50,823.55,Joules,power/energy-pkg/,20206238442,100.00,,1586
1,75,490.63,Joules,power/energy-pkg/,20031701550,100.00,,75
2,75,511.74,Joules,power/energy-pkg/,20035631634,100.00,,149
3,75,561.81,Joules,power/energy-pkg/,20050277895,100.00,,224
4,75,591.19,Joules,power/energy-pkg/,20081070952,100.00,,298
5,75,597.27,Joules,power/energy-pkg/,20086099319,100.00,,373
6,75,611.56,Joules,power/energy-pkg/,20077823435,100.00,,447
7,75,631.21,Joules,power/energy-pkg/,20088502165,100.00,,522
8,75,649.75,Joules,power/energy-pkg/,20090119248,100.00,,596
9,75,672.56,Joules,power/energy-pkg/,20085319511,100.00,,671
10,75,691.05,Joules,power/energy-pkg/,20082426002,100.00,,746
11,75,713.76,Joules,power/energy-pkg/,20085824056,100.00,,820
12,75,736.04,Joules,power/energy-pkg/,20085965100,100.00,,895
13,75,757.13,Joules,power/energy-pkg/,20088764337,100.00,,969
14,75,775.16,Joules,power/energy-pkg/,20083383873,100.00,,1044
15,75,799.03,Joules,power/energy-pkg/,20082172646,100.00,,1119
16,75,815.25,Joules,power/energy-pkg/,20086184826,100.00,,1193
17,75,827.51,Joules,power/energy-pkg/,20083714988,100.00,,1267
18,75,833.30,Joules,power/energy-pkg/,20091256189,100.00,,1341
19,75,841.99,Joules,power/energy-pkg/,20082504208,100.00,,1417
20,75,849.11,Joules,power/energy-pkg/,20095642102,100.00,,1490
21,75,857.38,Joules,power/energy-pkg/,20109091812,100.00,,1564
22,75,864.06,Joules,power/energy-pkg/,20120989487,100.00,,1638
23,75,872.18,Joules,power/energy-pkg/,20107390569,100.00,,1713
24,75,882.53,Joules,power/energy-pkg/,20114429043,100.00,,1787
25,75,888.42,Joules,power/energy-pkg/,20106331228,100.00,,1862
26,75,895.74,Joules,power/energy-pkg/,20114322180,100.00,,1935
27,75,900.37,Joules,power/energy-pkg/,20098671880,100.00,,2012
28,75,909.38,Joules,power/energy-pkg/,20110654916,100.00,,2085
29,75,915.28,Joules,power/energy-pkg/,20119977525,100.00,,2158
30,75,924.39,Joules,power/energy-pkg/,20116759236,100.00,,2234
31,75,931.42,Joules,power/energy-pkg/,20129525348,100.00,,2306
32,75,936.79,Joules,power/energy-pkg/,20130284560,100.00,,2378
1,100,507.01,Joules,power/energy-pkg/,20031830249,100.00,,99
2,100,527.87,Joules,power/energy-pkg/,20108360192,100.00,,198
3,100,601.26,Joules,power/energy-pkg/,20316513752,100.00,,294
4,100,612.55,Joules,power/energy-pkg/,20037291384,100.00,,398
5,100,628.46,Joules,power/energy-pkg/,20038707062,100.00,,497
6,100,644.64,Joules,power/energy-pkg/,20036338408,100.00,,597
7,100,672.93,Joules,power/energy-pkg/,20048733416,100.00,,696
8,100,701.04,Joules,power/energy-pkg/,20037824363,100.00,,796
9,100,729.41,Joules,power/energy-pkg/,20046802029,100.00,,895
10,100,757.05,Joules,power/energy-pkg/,20037152199,100.00,,995
11,100,786.93,Joules,power/energy-pkg/,20047294861,100.00,,1094
12,100,815.44,Joules,power/energy-pkg/,20046055643,100.00,,1193
13,100,844.42,Joules,power/energy-pkg/,20048285640,100.00,,1293
14,100,874.04,Joules,power/energy-pkg/,20040882759,100.00,,1392
15,100,899.55,Joules,power/energy-pkg/,20045005952,100.00,,1492
16,100,929.98,Joules,power/energy-pkg/,20045816181,100.00,,1591
17,100,934.99,Joules,power/energy-pkg/,20044598001,100.00,,1691
18,100,936.72,Joules,power/energy-pkg/,20048822593,100.00,,1790
19,100,941.43,Joules,power/energy-pkg/,20047442199,100.00,,1889
20,100,947.33,Joules,power/energy-pkg/,20048753152,100.00,,1989
21,100,952.60,Joules,power/energy-pkg/,20052800588,100.00,,2088
22,100,956.29,Joules,power/energy-pkg/,20049527942,100.00,,2187
23,100,961.50,Joules,power/energy-pkg/,20051550459,100.00,,2287
24,100,965.97,Joules,power/energy-pkg/,20055949227,100.00,,2386
25,100,972.11,Joules,power/energy-pkg/,20057832776,100.00,,2485
26,100,976.94,Joules,power/energy-pkg/,20053001475,100.00,,2585
27,100,980.08,Joules,power/energy-pkg/,20058331783,100.00,,2683
28,100,986.43,Joules,power/energy-pkg/,20062436523,100.00,,2782
29,100,990.56,Joules,power/energy-pkg/,20054554704,100.00,,2883
30,100,994.91,Joules,power/energy-pkg/,20058518773,100.00,,2982
31,100,1001.49,Joules,power/energy-pkg/,20069022181,100.00,,3079
32,100,1001.50,Joules,power/energy-pkg/,20066104100,100.00,,3179
