threads,load,energy,,,time,,,util
58,50,2855.69,Joules,power/energy-pkg/,20213445384,100.00,,2870
59,50,2856.98,Joules,power/energy-pkg/,20198994262,100.00,,2923
60,50,2862.96,Joules,power/energy-pkg/,20177108557,100.00,,2974
61,50,2864.39,Joules,power/energy-pkg/,20196403798,100.00,,3020
62,50,2866.78,Joules,power/energy-pkg/,20185630522,100.00,,3072
63,50,2878.67,Joules,power/energy-pkg/,20200240839,100.00,,3119
64,50,2880.89,Joules,power/energy-pkg/,20199892001,100.00,,3171
1,75,1839.27,Joules,power/energy-pkg/,20023300800,100.00,,75
2,75,1934.68,Joules,power/energy-pkg/,20049429761,100.00,,149
3,75,2015.59,Joules,power/energy-pkg/,20049631016,100.00,,224
4,75,2027.58,Joules,power/energy-pkg/,20055325925,100.00,,298
5,75,2121.28,Joules,power/energy-pkg/,20091586572,100.00,,373
6,75,2168.90,Joules,power/energy-pkg/,20049631902,100.00,,448
7,75,2194.44,Joules,power/energy-pkg/,20090851788,100.00,,522
8,75,2251.19,Joules,power/energy-pkg/,20056433473,100.00,,597
9,75,2263.99,Joules,power/energy-pkg/,20094644197,100.00,,670
10,75,2338.70,Joules,power/energy-pkg/,20085207964,100.00,,745
11,75,2382.77,Joules,power/energy-pkg/,20078967699,100.00,,820
12,75,2415.52,Joules,power/energy-pkg/,20100361489,100.00,,894
13,75,2448.99,Joules,power/energy-pkg/,20090793461,100.00,,969
14,75,2485.26,Joules,power/energy-pkg/,20089977590,100.00,,1043
15,75,2519.56,Joules,power/energy-pkg/,20065642692,100.00,,1118
16,75,2541.77,Joules,power/energy-pkg/,20055680095,100.00,,1193
17,75,2576.97,Joules,power/energy-pkg/,20093464531,100.00,,1266
18,75,2599.81,Joules,power/energy-pkg/,20088793308,100.00,,1341
19,75,2630.64,Joules,power/energy-pkg/,20092481456,100.00,,1415
20,75,2614.37,Joules,power/energy-pkg/,20103564325,100.00,,1489
21,75,2664.33,Joules,power/energy-pkg/,20096392458,100.00,,1564
22,75,2658.24,Joules,power/energy-pkg/,20112087317,100.00,,1638
23,75,2670.02,Joules,power/energy-pkg/,20101509214,100.00,,1713
24,75,2675.15,Joules,power/energy-pkg/,20107909868,100.00,,1786
