name;hash;path;type;size
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578810);f931763b950f464b46ca901c7da9a8f6;/workspace/work/f9/31763b950f464b46ca901c7da9a8f6/SRR16578810_raw_1_fastqc.html;f;591634
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578810);f931763b950f464b46ca901c7da9a8f6;/workspace/work/f9/31763b950f464b46ca901c7da9a8f6/SRR16578810_raw_2_fastqc.html;f;588298
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578810);f931763b950f464b46ca901c7da9a8f6;/workspace/work/f9/31763b950f464b46ca901c7da9a8f6/SRR16578810_raw_1_fastqc.zip;f;363595
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578810);f931763b950f464b46ca901c7da9a8f6;/workspace/work/f9/31763b950f464b46ca901c7da9a8f6/SRR16578810_raw_2_fastqc.zip;f;360980
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578810);f931763b950f464b46ca901c7da9a8f6;/workspace/work/f9/31763b950f464b46ca901c7da9a8f6/versions.yml;f;120
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578809);f8c93221c97275d34403dffb01efafda;/workspace/work/f8/c93221c97275d34403dffb01efafda/SRR16578809_raw_1_fastqc.html;f;590430
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578809);f8c93221c97275d34403dffb01efafda;/workspace/work/f8/c93221c97275d34403dffb01efafda/SRR16578809_raw_2_fastqc.html;f;591318
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578809);f8c93221c97275d34403dffb01efafda;/workspace/work/f8/c93221c97275d34403dffb01efafda/SRR16578809_raw_1_fastqc.zip;f;361129
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578809);f8c93221c97275d34403dffb01efafda;/workspace/work/f8/c93221c97275d34403dffb01efafda/SRR16578809_raw_2_fastqc.zip;f;365770
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578809);f8c93221c97275d34403dffb01efafda;/workspace/work/f8/c93221c97275d34403dffb01efafda/versions.yml;f;120
