task;hash;inputs;inputSize;outputs;outputSize;usedBy
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R2);b84989b9b0bf1aa2984476b3e27d10f8;1;702944162;2;677416805;6
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (K562_R1);d8a72348a94e5e4ab8f1a287fd0b7725;2;1669583821;2;591;1
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (K562_R1);0712b21a120821067c029b47d35d31b1;3;4816872803;2;2733568;1
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (K562_R1);8d090f931eb287754dfdc1e84f729b25;2;1669583821;2;631;1
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1);e3ba876a6751a396e2618f4f52432600;3;1669584123;3;446006141;1
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (2);2d2296224ce12014394d39e9b200f47b;3;1669584123;3;215792514;1
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (A549_R1);b463df9903814ca6a8d2e3022d5f15df;1;2714955410;2;2338823;1
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:UCSC_BED12TOBIGBED (A549_R3);79096f3c0b3daebcaa7fa8cb56bc3839;2;169403070;3;57245019;0
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (K562_R2);e47df75dc9a34cedf52351626c0bf9a5;1;677416719;2;2033295;5
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R3);783803cde967217fdcaa1db961560d01;2;279215072;3;52619874;0
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:UCSC_BED12TOBIGBED (K562_R1);5c18bb4173fa2ccaa6f1b25a593b3e37;2;215792430;3;71234718;0
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (K562_R1);f6fa3c47f026d4e6c1560bdafdfd584a;2;446006054;3;82700214;0
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (A549_R1);d93d39891844f0dc4175b1c82c2259ee;3;5864583128;2;3752995;1
